"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich 2 Maximal Text","voy.2.com.text","Voynich","Voynich",10054,2367,60296,26,4.70043971814109,3.86506501148356,5.82055641982631,1.95549140834275,7.48211392938502,1.66155750955871,8.4628757262877,7.43516149595312,9.31572119080223,1.88055969484911,9.48738576306246,0.171664572260233,0.559880070546737,0.499498316498316,0.472996913580247,"ol","shedy","chedy","qokedy","qokain",0.0273522975929978,0.0258603540879252,0.11328824348518,0.184304754326636,0.313904913467277,0.420827531330814,0.541277103640342,-0.614454814982435,0.00365944100694083,-0.565236500765071,0.0195132549038433
"Voynich 2 Maximal Simplified","voy.2","Voynich","Voynich",11070,2590,66381,22,4.4594316186373,3.86293313447921,5.82985219795127,1.96691906347206,7.50707383411588,1.67722163616461,10.1241861774606,8.73653739296232,11.4501216705101,2.71358427754778,11.6665136697957,0.216391999285579,0.561900621118012,0.49247619047619,0.394264797507788,"shedy","ol","chedy","qokedy","qokain",0.0262872628726287,0.0261065943992773,0.110478771454381,0.179855465221319,0.308310749774164,0.415356820234869,0.535320686540199,-0.610605767683445,0.00355464130283153,-0.552797961809372,0.0193355285936075
"Voynich 2 Maximal Simplified Text","voy.2.text","Voynich","Voynich",10054,2367,60296,22,4.4594316186373,3.86342044621982,5.81853271718818,1.95511227096835,7.48036037602845,1.66182765884028,8.4628757262877,7.43516149595312,9.31572119080223,1.88055969484911,9.48738576306246,0.171664572260233,0.559880070546737,0.499498316498316,0.472996913580247,"ol","shedy","chedy","qokedy","qokain",0.0273522975929978,0.0258603540879252,0.11328824348518,0.184304754326636,0.313904913467277,0.420827531330814,0.541277103640342,-0.614454814982435,0.00365944100694083,-0.565236500765071,0.0195132549038433
"Voynich 2 Minimal","voy.2.min","Voynich","Voynich",11070,2575,54849,39,5.28540221886225,3.90093131405455,6.11972284018192,2.21879152612737,8.09742359971438,1.97770075953246,10.1208275162712,8.73450114847034,11.4499839123592,2.71548276388884,11.6665136697957,0.216529757436502,0.561639751552795,0.492059523809524,0.393681464174455,"Zedy","ol","Sedy","qkedy","qkaN",0.0262872628726287,0.0261065943992773,0.110478771454381,0.179855465221319,0.308310749774164,0.415356820234869,0.535320686540199,-0.610330825123314,0.00355919668456297,-0.552797961809372,0.0193355285936075
"Voynich 2 Minimal Text","voy.2.min.text","Voynich","Voynich",10054,2355,49725,39,5.28540221886225,3.90181548791047,6.10893605802469,2.20712057011422,8.07058127314513,1.96164521512044,8.45918123667301,7.43320357017831,9.31572119080223,1.88251762062391,9.48738576306246,0.171664572260233,0.559308641975309,0.499043771043771,0.47258024691358,"ol","Zedy","Sedy","qkedy","qkaN",0.0273522975929978,0.0258603540879252,0.11328824348518,0.184304754326636,0.313904913467277,0.420827531330814,0.541277103640342,-0.614212085842605,0.00366335233946009,-0.565236500765071,0.0195132549038433
"Voynich 3 Maximal","voy.3.com","Voynich","Voynich",11755,3419,73939,30,4.90689059560852,3.88527757650023,5.92136731114272,2.03608973464249,7.67619198966025,1.75482467851752,10.6821408143745,9.49869141360255,11.9191975248906,2.42050611128801,12.029978994236,0.110781469345462,0.637160130718954,0.551949779249448,0.472971984805318,"aiin","chedy","qokeey","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230710336027222,0.331943853679285,0.437856231390898,-0.573581057750883,0.00302136061817686,-0.498968198523551,0.0177933381726805
"Voynich 3 Maximal Text","voy.3.com.text","Voynich","Voynich",11328,3302,71361,30,4.90689059560852,3.88485025905662,5.91182526310359,2.02697500404697,7.65712837558354,1.74530311247995,10.5278970618693,9.39896570416293,11.7263207041694,2.32735500000646,11.8286063839126,0.102285679743161,0.638833510074231,0.555930894308943,0.477237951807229,"aiin","chedy","qokeey","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232079802259887,0.333862994350282,0.441295903954802,-0.57843396993869,0.00300870513489807,-0.50582703338556,0.0169382622439083
"Voynich 3 Maximal Simplified","voy.3","Voynich","Voynich",11755,3419,73939,22,4.4594316186373,3.88322282597737,5.91949699421943,2.03627416824206,7.67478087049644,1.75528387627701,10.6821408143745,9.49869141360255,11.9191975248906,2.42050611128801,12.029978994236,0.110781469345462,0.637160130718954,0.551949779249448,0.472971984805318,"aiin","chedy","qokeey","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230710336027222,0.331943853679285,0.437856231390898,-0.573581057750883,0.00302136061817686,-0.498968198523551,0.0177933381726805
"Voynich 3 Maximal Simplified Text","voy.3.text","Voynich","Voynich",11328,3302,71361,22,4.4594316186373,3.88274363029958,5.90990985954594,2.02716622924636,7.6556818817331,1.74577202218716,10.5278970618693,9.39896570416293,11.7263207041694,2.32735500000646,11.8286063839126,0.102285679743161,0.638833510074231,0.555930894308943,0.477237951807229,"aiin","chedy","qokeey","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232079802259887,0.333862994350282,0.441295903954802,-0.57843396993869,0.00300870513489807,-0.50582703338556,0.0169382622439083
"Voynich 3 Minimal","voy.3.min","Voynich","Voynich",11755,3406,60210,39,5.28540221886225,3.95627507494714,6.30338176277867,2.34710668783153,8.40435505098037,2.1009732882017,10.6787029772961,9.49563455069633,11.9187974848866,2.42316293419023,12.029978994236,0.111181509349462,0.636910130718954,0.551533112582781,0.472293684710351,"aM","Sedy","qkEy","ar","al",0.017524457677584,0.0161633347511697,0.0736707783921735,0.128881327094853,0.230880476393024,0.332113994045087,0.438026371756699,-0.573307347451396,0.00302571773711377,-0.49876571459767,0.0178122863144208
"Voynich 3 Minimal Text","voy.3.min.text","Voynich","Voynich",11328,3290,58029,39,5.28540221886225,3.95462235635461,6.29295400714766,2.33833165079306,8.38523589094148,2.09228188379382,10.5242620622007,9.39568788540321,11.7259206641654,2.33023277876218,11.8286063839126,0.102685719747162,0.638572640509014,0.555514227642276,0.476612449799197,"aM","Sedy","qkEy","ar","al",0.0181850282485876,0.0165960451977401,0.0744173728813559,0.130296610169492,0.232256355932203,0.334039548022599,0.441472457627119,-0.578162945192756,0.00301270940561147,-0.505619941213536,0.0169536877289042
"Voynich 4 Maximal","voy.4.com","Voynich","Voynich",2864,1548,17603,24,4.58496250072116,3.81504551551164,6.13462927943217,2.31958376392053,8.1334052526459,1.99877597321373,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aiin","dar","daiin",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135455116,0.0045124639609679,-0.549872194973808,0.0161062727910209
"Voynich 4 Maximal Text","voy.4.com.text","Voynich","Voynich",2511,1399,15444,24,4.58496250072116,3.80761539146071,6.12760038183412,2.31998499037341,8.1230420518339,1.99544166999978,10.4501802471648,9.66024476437427,11.2518264994306,1.59158173505631,11.2920996250784,0.0402731256477917,0.768,0.684578604044357,0.673117906066536,"ar","al","aiin","dar","dy",0.019115890083632,0.017921146953405,0.0776583034647551,0.125448028673835,0.204301075268817,0.28952608522501,0.388291517323775,-0.620889566719855,0.00474394805087617,-0.586196221865969,0.0179750320619248
"Voynich 4 Maximal Simplified","voy.4","Voynich","Voynich",2864,1548,17603,21,4.39231742277876,3.81291364125209,6.13221020068409,2.319296559432,8.13149995903788,1.9992897583538,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aiin","dar","daiin",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135455116,0.0045124639609679,-0.549872194973808,0.0161062727910209
"Voynich 4 Maximal Simplified Text","voy.4.text","Voynich","Voynich",353,268,2158,20,4.32192809488736,3.8151951005973,5.96536854055908,2.15017343996178,7.64561978100665,1.68025124044757,8.06608919045777,7.8411338550274,8.45374980045548,0.612615945428082,8.45532722030456,0.00157741984908277,0.759206798866855,0.759206798866855,0.759206798866855,"shey","daiin","dal","qokal","s",0.0254957507082153,0.0198300283286119,0.0906515580736544,0.147308781869688,0.257790368271955,0.382436260623229,0.524079320113314,-0.704057181704195,0.0137350665864344,-0.646992308728099,0.0188057184789809
"Voynich 4 Minimal","voy.4.min","Voynich","Voynich",2864,1548,15285,36,5.16992500144231,3.8668541828824,6.42439312468564,2.55753894180324,8.64178374626781,2.21739062158217,10.5961897561444,9.76614514182237,11.4419115620504,1.67576642022799,11.4821091447071,0.0401975826567433,0.732274725274725,0.653975308641975,0.622212962962963,"ar","al","aM","dar","daM",0.0178072625698324,0.0167597765363128,0.0729748603351955,0.120111731843575,0.200418994413408,0.284916201117318,0.38372905027933,-0.607035135455116,0.0045124639609679,-0.549872194973808,0.0161062727910209
"Voynich 4 Minimal Text","voy.4.min.text","Voynich","Voynich",353,268,1774,29,4.85798099512757,3.90400918666666,6.29972015486686,2.3957109682002,8.15322552473594,1.85350536986908,8.06608919045777,7.8411338550274,8.45374980045548,0.612615945428082,8.45532722030456,0.00157741984908277,0.759206798866855,0.759206798866855,0.759206798866855,"Zey","daM","dal","qkal","s",0.0254957507082153,0.0198300283286119,0.0906515580736544,0.147308781869688,0.257790368271955,0.382436260623229,0.524079320113314,-0.704057181704195,0.0137350665864344,-0.646992308728099,0.0188057184789809
